year,CTYNAME,CHN_1,CHN_2,CHN_3,CHN_4,CHN_5,CHN_6,CHN_7,CHN_8,CHN_9,CHN_10,CHN_11,CHN_12,USA_1,USA_2,USA_3,USA_4,USA_5,USA_6,USA_7,USA_8,USA_9,USA_10,USA_11,USA_12
2011,Jordan,46 ,36 ,14 ,39 ,13 ,89 ,39 ,28 ,44 ,39 ,32 ,12 ,908 ,1362 ,1187 ,1131 ,1267 ,739 ,1122 ,815 ,1002 ,592 ,651 ,471 
2011,Vietnam,280 ,165 ,295 ,502 ,499 ,2755 ,1112 ,710 ,908 ,1254 ,666 ,715 ,1292 ,860 ,1238 ,1266 ,1051 ,1202 ,1538 ,1057 ,1180 ,784 ,1390 ,508 
2012,Afghanistan,121 ,117 ,162 ,82 ,159 ,1030 ,105 ,43 ,415 ,118 ,135 ,69 ,8565 ,13623 ,23399 ,10797 ,15612 ,6659 ,7357 ,8787 ,9933 ,6167 ,8744 ,7826 
2012,Egypt,300 ,557 ,244 ,79 ,101 ,79 ,117 ,1038 ,233 ,127 ,169 ,103 ,3982 ,7229 ,3934 ,2438 ,2607 ,3839 ,6028 ,3301 ,7757 ,2399 ,5599 ,2791 
2012,Pakistan,668 ,501 ,683 ,781 ,563 ,854 ,424 ,339 ,724 ,542 ,423 ,352 ,5262 ,6107 ,5805 ,7583 ,9106 ,6932 ,5480 ,4281 ,6275 ,3726 ,2679 ,3320 
2012,Palestine,71 ,69 ,68 ,30 ,9 ,9 ,22 ,23 ,18 ,38 ,291 ,55 ,1250 ,1076 ,1303 ,1243 ,912 ,763 ,1338 ,936 ,1271 ,889 ,5215 ,1540 
2012,Belarus,105 ,74 ,20 ,63 ,151 ,22 ,92 ,39 ,138 ,146 ,83 ,120 ,105 ,69 ,127 ,161 ,86 ,110 ,38 ,228 ,223 ,129 ,112 ,101 
2012,Russia,1118 ,4717 ,3394 ,4227 ,2381 ,4746 ,3460 ,2044 ,2251 ,1374 ,1214 ,1703 ,4614 ,6600 ,8428 ,6477 ,7315 ,10886 ,5907 ,5036 ,6425 ,6783 ,5530 ,9345 
2012,Philippines,643 ,415 ,416 ,4204 ,3608 ,1718 ,2352 ,723 ,1399 ,507 ,987 ,770 ,1489 ,1736 ,1433 ,2214 ,2094 ,2429 ,1439 ,1235 ,1638 ,1702 ,1979 ,1703 
2012,Kazakhstan,109 ,60 ,59 ,68 ,104 ,304 ,89 ,71 ,45 ,33 ,75 ,161 ,102 ,196 ,182 ,91 ,148 ,113 ,241 ,106 ,161 ,190 ,227 ,100 
2012,Czech,24 ,7 ,29 ,21 ,7 ,3 ,17 ,27 ,25 ,9 ,15 ,14 ,284 ,195 ,299 ,300 ,269 ,189 ,209 ,369 ,309 ,170 ,256 ,374 
2012,Malaysia,462 ,366 ,244 ,400 ,367 ,536 ,357 ,429 ,522 ,330 ,378 ,287 ,334 ,422 ,396 ,338 ,482 ,379 ,281 ,351 ,614 ,457 ,459 ,400 
2012,Mongolia,48 ,29 ,48 ,102 ,70 ,143 ,71 ,96 ,83 ,81 ,60 ,108 ,24 ,27 ,61 ,35 ,145 ,452 ,158 ,115 ,79 ,148 ,58 ,100 
2012,Burma,328 ,356 ,310 ,251 ,421 ,240 ,168 ,238 ,502 ,204 ,406 ,236 ,1861 ,792 ,636 ,1397 ,1436 ,999 ,1765 ,502 ,3670 ,826 ,5365 ,534 
2012,Saudi Arabia,1075 ,256 ,193 ,148 ,57 ,84 ,95 ,119 ,100 ,86 ,100 ,48 ,1060 ,1261 ,1415 ,1171 ,1140 ,1341 ,936 ,831 ,1009 ,929 ,863 ,649 
2012,Sri Lanka,133 ,86 ,293 ,106 ,92 ,178 ,95 ,475 ,644 ,119 ,179 ,212 ,198 ,543 ,942 ,202 ,617 ,299 ,216 ,179 ,454 ,161 ,399 ,258 
2012,Tajikistan,148 ,14 ,45 ,80 ,115 ,381 ,13 ,40 ,32 ,61 ,41 ,34 ,17 ,20 ,84 ,36 ,89 ,18 ,158 ,72 ,59 ,138 ,99 ,51 
2012,Thailand,395 ,236 ,305 ,824 ,354 ,333 ,364 ,221 ,302 ,420 ,665 ,301 ,591 ,753 ,524 ,440 ,438 ,941 ,706 ,510 ,565 ,516 ,2021 ,544 
2012,Ukraine,53 ,24 ,72 ,68 ,53 ,70 ,171 ,70 ,92 ,23 ,50 ,64 ,511 ,710 ,949 ,827 ,673 ,408 ,378 ,514 ,667 ,597 ,606 ,633 
2012,Uzbekistan,138 ,20 ,48 ,90 ,143 ,384 ,7 ,46 ,112 ,30 ,47 ,32 ,121 ,280 ,99 ,75 ,103 ,102 ,316 ,232 ,52 ,49 ,35 ,44 
2012,Singapore,245 ,300 ,231 ,169 ,321 ,311 ,299 ,236 ,658 ,164 ,328 ,305 ,353 ,522 ,307 ,450 ,549 ,609 ,364 ,383 ,483 ,392 ,428 ,475 
2012,Syria,394 ,5330 ,3106 ,1541 ,745 ,1069 ,2123 ,1542 ,693 ,724 ,399 ,275 ,3691 ,8523 ,7102 ,4126 ,4775 ,5952 ,6359 ,6314 ,3907 ,3408 ,2926 ,5159 
2012,Yemen,22 ,46 ,35 ,118 ,23 ,12 ,33 ,72 ,51 ,47 ,48 ,30 ,1689 ,1549 ,1541 ,1057 ,2386 ,1145 ,792 ,540 ,2529 ,968 ,381 ,589 
2012,Iraq,30 ,55 ,53 ,30 ,150 ,134 ,128 ,193 ,37 ,58 ,72 ,43 ,5340 ,3896 ,4685 ,2772 ,3173 ,2678 ,2603 ,3100 ,3010 ,2342 ,3217 ,2677 
